name,address,city,postcode,country,lat,lng,website,operator,phone,opening_hours
Digbeth Works,,Birmingham,,GB,52.4756235,-1.887528,,,,
Waggon and Horses,,Birmingham,,GB,52.4637463,-2.0283979,,,,
Shoulder of Mutton at Blackheath,66 Birmingham Road,Birmingham,B65 9BA,GB,52.4759723,-2.03888,,,,Mo-Th 11:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-22:30
The Vine,11 High Street,Birmingham,B65 0DT,GB,52.4754203,-2.040373,,,,Mo-Sa 10:00-22:00; Su 12:00-22:00
The Britannia Inn,18 Rowley Village,Birmingham,B65 9AT,GB,52.4811741,-2.0423798,,,,"Mo-Th 14:00-22:00, Fr 12:00-24:00, Sa 12:00-00:30, Su 12:00-22:00"
The Beech Tree,158-159 Halesowen Street,Rowley Regis,B65 0ES,GB,52.4749036,-2.0403597,,,,
Strawberry Fields,,Birmingham,,GB,52.4068917,-1.8245198,,,,
Slug & Lettuce,,Birmingham,,GB,52.4113326,-1.7787586,https://www.slugandlettuce.co.uk/solihull,,,
The Soloman Cutler,,Birmingham,B1 2DS,GB,52.4780633,-1.9100937,,,,
The Whiteheath Tavern,400 Birchfield Lane,Birmingham,B69 1AD,GB,52.489049,-2.026657,,,,
King George V,,Birmingham,WS2 9BZ,GB,52.5700205,-2.000273,,,,
The Parkbrook,,Birmingham,WS2 8RJ,GB,52.5874355,-2.0083484,,,,
The George Bar & Cafe,37 Dudley Road,Birmingham,B69 3DP,GB,52.5083208,-2.0250954,https://www.instagram.com/sip.eat.george?i,,+44 7756335727,
The Black Horse,,Birmingham,,GB,52.4337878,-2.0272794,,,,
Benjamin's,Birmingham Street,Birmingham,B63 3HN,GB,52.4497734,-2.0490542,,,,
Olde Queens Head,Birmingham Street,Birmingham,B63 3HN,GB,52.4486846,-2.0494666,,,,
The Forge,,Birmingham,,GB,52.4538429,-2.0463744,,,,
The Indie Lounge,,Birmingham,,GB,52.4443785,-1.9350915,,,,
Loyal Lodge,15 Furnace Hill,Birmingham,B63 3LY,GB,52.4581085,-2.0499503,,,,
